departamento,provincia,distrito,dist_code,dept_code,prov_code,pct_actas,actas_contabilizadas,total_actas,votos_Fujimori,pct_Fujimori,votos_Lopez_Aliaga,pct_Lopez_Aliaga,votos_Nieto,pct_Nieto,votos_Belmont,pct_Belmont,votos_Sanchez,pct_Sanchez,type
Amazonas,Chachapoyas,Chachapoyas,010101,010000,010100,96.053,73,76,2283,17.678,1094,8.471,1679,13.001,1328,10.283,1013,7.844,domestic
Amazonas,Chachapoyas,Asuncion,010102,010000,010100,100,2,2,13,10.744,5,4.132,14,11.57,16,13.223,15,12.397,domestic
Amazonas,Chachapoyas,Balsas,010103,010000,010100,80,4,5,91,19.403,10,2.132,3,0.64,49,10.448,149,31.77,domestic
Amazonas,Chachapoyas,Cheto,010104,010000,010100,100,3,3,67,18.356,18,4.932,17,4.658,87,23.836,77,21.096,domestic
Amazonas,Chachapoyas,Chiliquin,010105,010000,010100,75,3,4,109,39.209,7,2.518,9,3.237,34,12.23,56,20.144,domestic
Amazonas,Chachapoyas,Chuquibamba,010106,010000,010100,71.429,5,7,100,30.12,16,4.819,6,1.807,23,6.928,60,18.072,domestic
Amazonas,Chachapoyas,Granada,010107,010000,010100,100,2,2,52,16.199,5,1.558,20,6.231,80,24.922,57,17.757,domestic
Amazonas,Chachapoyas,Huancas,010108,010000,010100,100,3,3,159,30.46,35,6.705,23,4.406,61,11.686,70,13.41,domestic
Amazonas,Chachapoyas,La Jalca,010109,010000,010100,94.118,16,17,142,6.431,35,1.585,39,1.766,345,15.625,1249,56.567,domestic
Amazonas,Chachapoyas,Leimebamba,010110,010000,010100,70,7,10,152,15.883,64,6.688,86,8.986,86,8.986,167,17.45,domestic
Amazonas,Chachapoyas,Levanto,010111,010000,010100,75,3,4,151,29.492,22,4.297,17,3.32,46,8.984,117,22.852,domestic
Amazonas,Chachapoyas,Magdalena,010112,010000,010100,66.667,2,3,89,30.068,6,2.027,6,2.027,41,13.851,51,17.23,domestic
Amazonas,Chachapoyas,Mariscal Castilla,010113,010000,010100,100,4,4,145,30.917,15,3.198,5,1.066,46,9.808,113,24.094,domestic
Amazonas,Chachapoyas,Molinopampa,010114,010000,010100,100,8,8,273,21.857,72,5.765,96,7.686,128,10.248,244,19.536,domestic
Amazonas,Chachapoyas,Montevideo,010115,010000,010100,100,3,3,54,14.362,15,3.989,30,7.979,63,16.755,61,16.223,domestic
Amazonas,Chachapoyas,Olleros,010116,010000,010100,100,2,2,33,13.808,4,1.674,9,3.766,38,15.9,58,24.268,domestic
Amazonas,Chachapoyas,Quinjalca,010117,010000,010100,100,4,4,49,11.864,7,1.695,13,3.148,89,21.55,118,28.571,domestic
Amazonas,Chachapoyas,San Francisco de Daguas,010118,010000,010100,50,1,2,16,13.008,13,10.569,18,14.634,20,16.26,9,7.317,domestic
Amazonas,Chachapoyas,San Isidro de Maino,010119,010000,010100,66.667,2,3,102,33.225,7,2.28,8,2.606,29,9.446,55,17.915,domestic
Amazonas,Chachapoyas,Soloco,010120,010000,010100,83.333,5,6,99,16.923,28,4.786,25,4.274,99,16.923,127,21.709,domestic
Amazonas,Chachapoyas,Sonche,010121,010000,010100,100,2,2,72,33.028,4,1.835,1,0.459,27,12.385,27,12.385,domestic
Amazonas,Bagua,La Peca,010201,010000,010200,100,25,25,695,20.514,144,4.25,85,2.509,416,12.279,1175,34.681,domestic
Amazonas,Bagua,Aramango,010202,010000,010200,94.118,32,34,759,18.843,82,2.036,43,1.068,450,11.172,1892,46.971,domestic
Amazonas,Bagua,Copallin,010203,010000,010200,100,16,16,339,13.911,68,2.79,59,2.421,297,12.187,1034,42.429,domestic
Amazonas,Bagua,El Parco,010204,010000,010200,100,6,6,122,12.762,30,3.138,16,1.674,93,9.728,462,48.326,domestic
Amazonas,Bagua,Bagua,010205,010000,010200,93.056,67,72,2303,20.359,531,4.694,456,4.031,1071,9.468,3128,27.652,domestic
Amazonas,Bagua,Imaza,010206,010000,010200,92.784,90,97,419,4.882,110,1.282,55,0.641,327,3.81,5664,65.999,domestic
Amazonas,Bongara,Jumbilla,010301,010000,010300,100,3,3,57,15.04,21,5.541,43,11.346,46,12.137,84,22.164,domestic
Amazonas,Bongara,Corosha,010302,010000,010300,100,3,3,53,13.625,9,2.314,6,1.542,59,15.167,178,45.758,domestic
Amazonas,Bongara,Cuispes,010303,010000,010300,100,3,3,63,14.351,15,3.417,18,4.1,58,13.212,143,32.574,domestic
Amazonas,Bongara,Chisquilla,010304,010000,010300,100,2,2,54,24.885,14,6.452,8,3.687,27,12.442,42,19.355,domestic
Amazonas,Bongara,Churuja,010305,010000,010300,100,2,2,63,34.615,8,4.396,17,9.341,23,12.637,16,8.791,domestic
Amazonas,Bongara,Florida,010306,010000,010300,100,17,17,587,22.26,74,2.806,90,3.413,393,14.903,898,34.054,domestic
Amazonas,Bongara,Recta,010307,010000,010300,100,2,2,36,21.053,4,2.339,7,4.094,31,18.129,39,22.807,domestic
Amazonas,Bongara,San Carlos,010308,010000,010300,100,3,3,59,19.156,8,2.597,17,5.519,32,10.39,80,25.974,domestic
Amazonas,Bongara,Shipasbamba,010309,010000,010300,100,6,6,119,14.894,32,4.005,45,5.632,84,10.513,291,36.421,domestic
Amazonas,Bongara,Valera,010310,010000,010300,100,4,4,193,34.901,19,3.436,33,5.967,58,10.488,78,14.105,domestic
Amazonas,Bongara,Yambrasbamba,010311,010000,010300,100,18,18,637,25.873,42,1.706,52,2.112,257,10.439,922,37.449,domestic
Amazonas,Bongara,Jazan,010312,010000,010300,100,21,21,818,28.158,134,4.613,225,7.745,377,12.978,409,14.079,domestic
Amazonas,Luya,Lamud,010401,010000,010400,100,7,7,158,17.306,61,6.681,53,5.805,122,13.363,150,16.429,domestic
Amazonas,Luya,Camporredondo,010402,010000,010400,95,19,20,379,14.063,46,1.707,63,2.338,312,11.577,1229,45.603,domestic
Amazonas,Luya,Cocabamba,010403,010000,010400,85.714,6,7,48,14.414,6,1.802,14,4.204,29,8.709,167,50.15,domestic
Amazonas,Luya,Colcamar,010404,010000,010400,85.714,6,7,226,28.321,32,4.01,22,2.757,118,14.787,138,17.293,domestic
Amazonas,Luya,Conila,010405,010000,010400,83.333,5,6,153,20.292,22,2.918,15,1.989,67,8.886,306,40.584,domestic
Amazonas,Luya,Inguilpata,010406,010000,010400,100,3,3,102,33.117,22,7.143,11,3.571,49,15.909,34,11.039,domestic
Amazonas,Luya,Longuita,010407,010000,010400,75,3,4,143,44,9,2.769,12,3.692,32,9.846,56,17.231,domestic
Amazonas,Luya,Lonya Chico,010408,010000,010400,100,3,3,105,28.689,18,4.918,16,4.372,38,10.383,59,16.12,domestic
